file,path,heuristic,status,runtime_sec,decisions,conflicts,learned_clauses,propagations
uf20-01.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-01.cnf,baseline,SAT,0.017693,20,14,0,127
uf20-01.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-01.cnf,vsids,SAT,0.007312,8,1,0,20
uf20-010.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-010.cnf,baseline,SAT,0.010312,9,5,0,59
uf20-010.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-010.cnf,vsids,SAT,0.007639,7,3,0,37
uf20-0100.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0100.cnf,baseline,SAT,0.006188,4,2,0,31
uf20-0100.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0100.cnf,vsids,SAT,0.003919,2,0,0,18
uf20-01000.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-01000.cnf,baseline,SAT,0.009788,9,5,0,57
uf20-01000.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-01000.cnf,vsids,SAT,0.016882,14,10,0,96
uf20-0101.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0101.cnf,baseline,SAT,0.007217,7,3,0,45
uf20-0101.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0101.cnf,vsids,SAT,0.006232,5,0,0,16
uf20-0102.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0102.cnf,baseline,SAT,0.011268,10,6,0,67
uf20-0102.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0102.cnf,vsids,SAT,0.028066,26,21,0,199
uf20-0103.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0103.cnf,baseline,SAT,0.008615,9,3,0,43
uf20-0103.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0103.cnf,vsids,SAT,0.019555,19,15,0,157
uf20-0104.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0104.cnf,baseline,SAT,0.004258,4,1,0,32
uf20-0104.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0104.cnf,vsids,SAT,0.00765,7,1,0,22
uf20-0105.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0105.cnf,baseline,SAT,0.006791,8,3,0,45
uf20-0105.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0105.cnf,vsids,SAT,0.00878,10,4,0,53
uf20-0106.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0106.cnf,baseline,SAT,0.019538,18,16,0,152
uf20-0106.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0106.cnf,vsids,SAT,0.00915,5,4,0,58
uf20-0107.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0107.cnf,baseline,SAT,0.02291,23,17,0,181
uf20-0107.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0107.cnf,vsids,SAT,0.006725,6,2,0,25
uf20-0108.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0108.cnf,baseline,SAT,0.013407,12,8,0,85
uf20-0108.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0108.cnf,vsids,SAT,0.02636,26,20,0,180
uf20-0109.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0109.cnf,baseline,SAT,0.004048,4,1,0,28
uf20-0109.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-0109.cnf,vsids,SAT,0.014178,15,11,0,104
uf20-011.cnf,C:/Users/Alkizar/Downloads/uf20-91/uf20-011.cnf,baseline,SAT,0.003755,6,0,0,13
