file,path,heuristic,status,runtime_sec,decisions,conflicts,learned_clauses,propagations
aim-100-1_6-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-no-1.cnf,baseline,UNSAT,1.218845,246,44,43,467
aim-100-1_6-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-no-1.cnf,vsids,UNSAT,0.819938,229,33,32,346
aim-100-1_6-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-no-2.cnf,baseline,UNSAT,1.026964,285,41,40,474
aim-100-1_6-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-no-2.cnf,vsids,UNSAT,0.573423,217,28,27,297
aim-100-1_6-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-no-3.cnf,baseline,UNSAT,0.675746,240,34,33,327
aim-100-1_6-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-no-3.cnf,vsids,UNSAT,1.411026,350,54,53,602
aim-100-1_6-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-no-4.cnf,baseline,UNSAT,0.483452,167,31,30,291
aim-100-1_6-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-no-4.cnf,vsids,UNSAT,0.752525,279,37,36,405
aim-100-1_6-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-yes1-1.cnf,baseline,SAT,0.411319,92,17,17,252
aim-100-1_6-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-yes1-1.cnf,vsids,SAT,0.529927,96,23,23,373
aim-100-1_6-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-yes1-2.cnf,baseline,SAT,0.392327,132,18,18,300
aim-100-1_6-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-yes1-2.cnf,vsids,SAT,0.864731,205,36,36,593
aim-100-1_6-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-yes1-3.cnf,baseline,SAT,0.646204,196,36,36,512
aim-100-1_6-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-yes1-3.cnf,vsids,SAT,0.581756,128,19,19,442
aim-100-1_6-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-yes1-4.cnf,baseline,SAT,0.491823,136,26,26,429
aim-100-1_6-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-1_6-yes1-4.cnf,vsids,SAT,0.402162,99,22,22,264
aim-100-2_0-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-no-1.cnf,baseline,UNSAT,0.315172,91,15,14,180
aim-100-2_0-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-no-1.cnf,vsids,UNSAT,0.403146,95,19,18,283
aim-100-2_0-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-no-2.cnf,baseline,UNSAT,0.623977,165,25,24,309
aim-100-2_0-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-no-2.cnf,vsids,UNSAT,0.72613,143,31,30,435
aim-100-2_0-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-no-3.cnf,baseline,UNSAT,0.103174,46,8,7,69
aim-100-2_0-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-no-3.cnf,vsids,UNSAT,0.310993,110,12,11,161
aim-100-2_0-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-no-4.cnf,baseline,UNSAT,0.552114,151,28,27,309
aim-100-2_0-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-no-4.cnf,vsids,UNSAT,0.680833,166,32,31,385
aim-100-2_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-yes1-1.cnf,baseline,SAT,0.556876,107,30,30,515
aim-100-2_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-yes1-1.cnf,vsids,SAT,0.403751,91,18,18,304
aim-100-2_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-yes1-2.cnf,baseline,SAT,1.627382,224,51,51,790
aim-100-2_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-yes1-2.cnf,vsids,SAT,2.606356,244,96,96,1534
aim-100-2_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-yes1-3.cnf,baseline,SAT,0.737278,136,29,29,486
aim-100-2_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-yes1-3.cnf,vsids,SAT,0.440286,98,17,17,286
aim-100-2_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-yes1-4.cnf,baseline,SAT,1.660232,241,57,57,1030
aim-100-2_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-2_0-yes1-4.cnf,vsids,SAT,0.379558,70,20,20,307
aim-100-3_4-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-3_4-yes1-1.cnf,baseline,SAT,2.274598,287,114,114,2146
aim-100-3_4-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-3_4-yes1-1.cnf,vsids,SAT,2.720918,295,128,128,2578
aim-100-3_4-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-3_4-yes1-2.cnf,baseline,SAT,1.479535,134,71,71,1460
aim-100-3_4-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-3_4-yes1-2.cnf,vsids,SAT,0.814797,107,43,43,748
aim-100-3_4-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-3_4-yes1-3.cnf,baseline,SAT,1.555891,188,75,75,1509
aim-100-3_4-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-3_4-yes1-3.cnf,vsids,SAT,1.727806,218,93,93,1721
aim-100-3_4-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-3_4-yes1-4.cnf,baseline,SAT,1.020576,120,40,40,929
aim-100-3_4-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-3_4-yes1-4.cnf,vsids,SAT,3.656805,353,162,162,3590
aim-100-6_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-6_0-yes1-1.cnf,baseline,SAT,0.358427,39,20,20,350
aim-100-6_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-6_0-yes1-1.cnf,vsids,SAT,0.691854,81,45,45,833
aim-100-6_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-6_0-yes1-2.cnf,baseline,SAT,0.785941,72,49,49,1036
aim-100-6_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-6_0-yes1-2.cnf,vsids,SAT,0.397375,44,18,18,412
aim-100-6_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-6_0-yes1-3.cnf,baseline,SAT,0.62203,66,32,32,644
aim-100-6_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-6_0-yes1-3.cnf,vsids,SAT,0.306173,34,13,13,278
aim-100-6_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-6_0-yes1-4.cnf,baseline,SAT,1.101415,114,70,70,1447
aim-100-6_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-100-6_0-yes1-4.cnf,vsids,SAT,0.566157,57,31,31,750
aim-200-1_6-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-no-1.cnf,baseline,UNSAT,2.986081,363,26,25,447
aim-200-1_6-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-no-1.cnf,vsids,UNSAT,3.073067,398,29,28,388
aim-200-1_6-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-no-2.cnf,baseline,UNSAT,6.226721,618,43,42,710
aim-200-1_6-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-no-2.cnf,vsids,UNSAT,9.686729,729,53,52,1167
aim-200-1_6-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-no-3.cnf,baseline,UNSAT,8.205655,784,51,50,904
aim-200-1_6-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-no-3.cnf,vsids,UNSAT,7.807457,702,57,56,1098
aim-200-1_6-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-no-4.cnf,baseline,UNSAT,6.835734,526,30,29,737
aim-200-1_6-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-no-4.cnf,vsids,UNSAT,3.799516,352,30,29,531
aim-200-1_6-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-yes1-1.cnf,baseline,SAT,4.130479,304,36,36,665
aim-200-1_6-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-yes1-1.cnf,vsids,SAT,4.739788,375,37,37,820
aim-200-1_6-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-yes1-2.cnf,baseline,SAT,8.238293,653,60,60,1110
aim-200-1_6-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-yes1-2.cnf,vsids,SAT,6.64175,515,53,53,919
aim-200-1_6-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-yes1-3.cnf,baseline,TIMEOUT,10.001798,699,95,95,1866
aim-200-1_6-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-yes1-3.cnf,vsids,SAT,8.062595,507,58,58,1080
aim-200-1_6-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-yes1-4.cnf,baseline,SAT,6.005556,519,55,55,1010
aim-200-1_6-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-1_6-yes1-4.cnf,vsids,SAT,5.995495,504,51,51,1134
aim-200-2_0-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-no-1.cnf,baseline,UNSAT,7.354667,608,60,59,1078
aim-200-2_0-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-no-1.cnf,vsids,UNSAT,2.016305,257,20,19,296
aim-200-2_0-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-no-2.cnf,baseline,UNSAT,3.169954,341,25,24,436
aim-200-2_0-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-no-2.cnf,vsids,UNSAT,7.634453,386,58,57,1301
aim-200-2_0-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-no-3.cnf,baseline,UNSAT,6.780729,465,40,39,910
aim-200-2_0-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-no-3.cnf,vsids,UNSAT,4.347724,306,34,33,649
aim-200-2_0-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-no-4.cnf,baseline,UNSAT,5.785062,462,43,42,885
aim-200-2_0-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-no-4.cnf,vsids,UNSAT,4.610861,373,38,37,745
aim-200-2_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-yes1-1.cnf,baseline,SAT,9.150929,621,73,73,1349
aim-200-2_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-yes1-1.cnf,vsids,TIMEOUT,10.008193,775,76,76,1463
aim-200-2_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-yes1-2.cnf,baseline,TIMEOUT,10.051234,545,82,82,1396
aim-200-2_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-yes1-2.cnf,vsids,TIMEOUT,10.003838,627,81,81,1617
aim-200-2_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-yes1-3.cnf,baseline,SAT,8.266059,567,62,62,1273
aim-200-2_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-yes1-3.cnf,vsids,SAT,5.816876,452,51,51,1225
aim-200-2_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-yes1-4.cnf,baseline,TIMEOUT,10.006327,645,90,90,1553
aim-200-2_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-2_0-yes1-4.cnf,vsids,TIMEOUT,10.031867,664,85,85,1527
aim-200-3_4-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-3_4-yes1-1.cnf,baseline,TIMEOUT,10.048827,432,122,122,3349
aim-200-3_4-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-3_4-yes1-1.cnf,vsids,TIMEOUT,10.003637,408,114,114,3263
aim-200-3_4-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-3_4-yes1-2.cnf,baseline,TIMEOUT,10.004808,475,110,110,2899
aim-200-3_4-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-3_4-yes1-2.cnf,vsids,TIMEOUT,10.074555,423,114,114,2942
aim-200-3_4-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-3_4-yes1-3.cnf,baseline,TIMEOUT,10.100164,503,112,112,2933
aim-200-3_4-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-3_4-yes1-3.cnf,vsids,SAT,10.176359,481,110,110,3015
aim-200-3_4-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-3_4-yes1-4.cnf,baseline,TIMEOUT,10.021064,470,118,118,2991
aim-200-3_4-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-3_4-yes1-4.cnf,vsids,TIMEOUT,10.105812,378,115,115,3342
aim-200-6_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-1.cnf,baseline,SAT,2.180929,62,26,26,1171
aim-200-6_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-1.cnf,vsids,SAT,0.826016,30,10,10,601
aim-200-6_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-2.cnf,baseline,SAT,9.158444,217,120,120,4401
aim-200-6_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-2.cnf,vsids,SAT,3.582818,137,50,50,1621
aim-200-6_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-3.cnf,baseline,TIMEOUT,10.007361,237,132,132,5006
aim-200-6_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-3.cnf,vsids,SAT,7.296281,202,92,92,3321
