file,path,heuristic,status,runtime_sec,decisions,conflicts,learned_clauses,propagations
flat50-1.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-1.cnf,baseline,SAT,0.585387,18,2,2,239
flat50-1.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-1.cnf,vsids,SAT,1.077737,32,8,8,635
flat50-10.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-10.cnf,baseline,SAT,0.781221,19,4,4,325
flat50-10.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-10.cnf,vsids,SAT,3.280011,84,47,47,2510
flat50-100.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-100.cnf,baseline,SAT,0.447066,13,1,1,160
flat50-100.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-100.cnf,vsids,SAT,0.767701,24,4,4,409
flat50-1000.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-1000.cnf,baseline,SAT,1.237559,35,16,16,865
flat50-1000.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-1000.cnf,vsids,SAT,2.516868,50,29,29,1932
flat50-101.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-101.cnf,baseline,SAT,0.563684,17,0,0,133
flat50-101.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-101.cnf,vsids,SAT,0.767569,21,4,4,317
flat50-102.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-102.cnf,baseline,SAT,1.13888,44,16,16,989
flat50-102.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-102.cnf,vsids,SAT,0.658312,14,1,1,164
flat50-103.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-103.cnf,baseline,SAT,2.144879,54,24,24,1351
flat50-103.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-103.cnf,vsids,SAT,0.822339,23,6,6,456
flat50-104.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-104.cnf,baseline,SAT,2.743626,71,39,39,2465
flat50-104.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-104.cnf,vsids,SAT,2.275205,53,30,30,1746
flat50-105.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-105.cnf,baseline,SAT,0.425651,17,0,0,133
flat50-105.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-105.cnf,vsids,SAT,2.095957,48,27,27,1531
flat50-106.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-106.cnf,baseline,SAT,0.880647,18,4,4,289
flat50-106.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-106.cnf,vsids,SAT,0.950309,26,4,4,227
flat50-107.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-107.cnf,baseline,SAT,1.169469,35,13,13,889
flat50-107.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-107.cnf,vsids,SAT,0.82166,30,9,9,525
flat50-108.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-108.cnf,baseline,SAT,0.930996,37,12,12,694
flat50-108.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-108.cnf,vsids,SAT,1.303577,35,11,11,592
flat50-109.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-109.cnf,baseline,SAT,0.573216,16,3,3,259
flat50-109.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-109.cnf,vsids,SAT,0.492927,15,0,0,135
flat50-11.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-11.cnf,baseline,SAT,1.720181,63,27,27,1465
flat50-11.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-11.cnf,vsids,SAT,0.868321,22,4,4,344
flat50-110.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-110.cnf,baseline,SAT,1.260563,50,10,10,521
flat50-110.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-110.cnf,vsids,SAT,1.206786,29,11,11,638
flat50-111.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-111.cnf,baseline,SAT,0.487816,13,0,0,137
flat50-111.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-111.cnf,vsids,SAT,0.513312,17,1,1,144
flat50-112.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-112.cnf,baseline,SAT,1.079207,34,13,13,892
flat50-112.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-112.cnf,vsids,SAT,1.36468,38,13,13,685
flat50-113.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-113.cnf,baseline,SAT,2.343204,52,29,29,1483
flat50-113.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-113.cnf,vsids,SAT,0.434751,14,1,1,174
flat50-114.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-114.cnf,baseline,SAT,0.475181,15,1,1,148
flat50-114.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-114.cnf,vsids,SAT,1.839636,56,21,21,1307
flat50-115.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-115.cnf,baseline,SAT,2.304994,79,34,34,1927
flat50-115.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-115.cnf,vsids,SAT,1.031504,39,8,8,588
flat50-116.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-116.cnf,baseline,SAT,1.123735,32,10,10,586
flat50-116.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-116.cnf,vsids,SAT,0.624046,16,2,2,189
flat50-117.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-117.cnf,baseline,SAT,1.184702,36,15,15,957
flat50-117.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-117.cnf,vsids,SAT,0.761485,20,3,3,265
flat50-118.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-118.cnf,baseline,SAT,1.897194,56,28,28,1527
flat50-118.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-118.cnf,vsids,SAT,0.924816,32,7,7,509
flat50-119.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-119.cnf,baseline,SAT,2.982882,101,47,47,2679
flat50-119.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-119.cnf,vsids,SAT,1.401208,31,14,14,818
flat50-12.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-12.cnf,baseline,SAT,0.626354,16,3,3,256
flat50-12.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-12.cnf,vsids,SAT,2.976587,71,41,41,2227
flat50-120.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-120.cnf,baseline,SAT,3.229513,87,49,49,2833
flat50-120.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-120.cnf,vsids,SAT,0.917914,25,7,7,433
flat50-121.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-121.cnf,baseline,SAT,0.64837,20,1,1,152
flat50-121.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-121.cnf,vsids,SAT,0.832071,25,6,6,474
flat50-122.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-122.cnf,baseline,SAT,0.730305,22,2,2,305
flat50-122.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-122.cnf,vsids,SAT,0.929555,23,7,7,588
flat50-123.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-123.cnf,baseline,SAT,0.829175,33,8,8,535
flat50-123.cnf,C:\Users\Alkizar\Downloads\flat50-115\flat50-123.cnf,vsids,SAT,0.865503,23,7,7,428
