file,path,heuristic,status,runtime_sec,decisions,conflicts,learned_clauses,propagations
jnh1.cnf,C:\Users\Alkizar\Downloads\jnh\jnh1.cnf,baseline,SAT,41.995218,492,318,318,9303
jnh1.cnf,C:\Users\Alkizar\Downloads\jnh\jnh1.cnf,vsids,SAT,50.726618,479,306,306,8358
jnh10.cnf,C:\Users\Alkizar\Downloads\jnh\jnh10.cnf,baseline,UNSAT,2.81146,80,34,33,1064
jnh10.cnf,C:\Users\Alkizar\Downloads\jnh\jnh10.cnf,vsids,UNSAT,3.59356,75,53,52,1691
jnh11.cnf,C:\Users\Alkizar\Downloads\jnh\jnh11.cnf,baseline,UNSAT,19.125772,396,254,253,7771
jnh11.cnf,C:\Users\Alkizar\Downloads\jnh\jnh11.cnf,vsids,UNSAT,11.366781,273,148,147,4500
jnh12.cnf,C:\Users\Alkizar\Downloads\jnh\jnh12.cnf,baseline,SAT,2.356104,46,23,23,916
jnh12.cnf,C:\Users\Alkizar\Downloads\jnh\jnh12.cnf,vsids,SAT,0.944093,27,8,8,290
jnh13.cnf,C:\Users\Alkizar\Downloads\jnh\jnh13.cnf,baseline,UNSAT,4.498156,97,60,59,1810
jnh13.cnf,C:\Users\Alkizar\Downloads\jnh\jnh13.cnf,vsids,UNSAT,2.698911,72,38,37,1077
jnh14.cnf,C:\Users\Alkizar\Downloads\jnh\jnh14.cnf,baseline,UNSAT,1.735995,43,19,18,563
jnh14.cnf,C:\Users\Alkizar\Downloads\jnh\jnh14.cnf,vsids,UNSAT,3.914934,102,66,65,2061
jnh15.cnf,C:\Users\Alkizar\Downloads\jnh\jnh15.cnf,baseline,UNSAT,10.335378,226,138,137,4113
jnh15.cnf,C:\Users\Alkizar\Downloads\jnh\jnh15.cnf,vsids,UNSAT,4.421728,120,60,59,1681
jnh16.cnf,C:\Users\Alkizar\Downloads\jnh\jnh16.cnf,baseline,TIMEOUT,60.010695,759,482,482,13651
jnh16.cnf,C:\Users\Alkizar\Downloads\jnh\jnh16.cnf,vsids,TIMEOUT,60.161425,724,492,492,14897
jnh17.cnf,C:\Users\Alkizar\Downloads\jnh\jnh17.cnf,baseline,SAT,5.512195,81,45,45,1436
jnh17.cnf,C:\Users\Alkizar\Downloads\jnh\jnh17.cnf,vsids,SAT,4.40981,66,36,36,1124
jnh18.cnf,C:\Users\Alkizar\Downloads\jnh\jnh18.cnf,baseline,UNSAT,12.711165,238,147,146,4324
jnh18.cnf,C:\Users\Alkizar\Downloads\jnh\jnh18.cnf,vsids,TIMEOUT,60.005714,750,515,515,15797
jnh19.cnf,C:\Users\Alkizar\Downloads\jnh\jnh19.cnf,baseline,UNSAT,11.209826,242,139,138,4471
jnh19.cnf,C:\Users\Alkizar\Downloads\jnh\jnh19.cnf,vsids,UNSAT,12.069715,271,167,166,4702
jnh2.cnf,C:\Users\Alkizar\Downloads\jnh\jnh2.cnf,baseline,UNSAT,0.588316,12,8,7,313
jnh2.cnf,C:\Users\Alkizar\Downloads\jnh\jnh2.cnf,vsids,UNSAT,0.411465,8,6,5,166
jnh20.cnf,C:\Users\Alkizar\Downloads\jnh\jnh20.cnf,baseline,UNSAT,8.360975,158,111,110,3226
jnh20.cnf,C:\Users\Alkizar\Downloads\jnh\jnh20.cnf,vsids,UNSAT,11.866708,239,150,149,4427
jnh201.cnf,C:\Users\Alkizar\Downloads\jnh\jnh201.cnf,baseline,SAT,1.022329,18,2,2,107
jnh201.cnf,C:\Users\Alkizar\Downloads\jnh\jnh201.cnf,vsids,SAT,2.424343,50,12,12,367
jnh202.cnf,C:\Users\Alkizar\Downloads\jnh\jnh202.cnf,baseline,UNSAT,0.619779,14,9,8,221
jnh202.cnf,C:\Users\Alkizar\Downloads\jnh\jnh202.cnf,vsids,UNSAT,0.969785,14,11,10,398
jnh203.cnf,C:\Users\Alkizar\Downloads\jnh\jnh203.cnf,baseline,UNSAT,6.691034,173,95,94,2704
jnh203.cnf,C:\Users\Alkizar\Downloads\jnh\jnh203.cnf,vsids,UNSAT,11.678087,232,146,145,4489
jnh204.cnf,C:\Users\Alkizar\Downloads\jnh\jnh204.cnf,baseline,TIMEOUT,60.000682,750,519,519,15515
jnh204.cnf,C:\Users\Alkizar\Downloads\jnh\jnh204.cnf,vsids,TIMEOUT,60.064912,770,505,505,14669
jnh205.cnf,C:\Users\Alkizar\Downloads\jnh\jnh205.cnf,baseline,SAT,0.534067,9,1,1,123
jnh205.cnf,C:\Users\Alkizar\Downloads\jnh\jnh205.cnf,vsids,SAT,2.625692,47,21,21,745
jnh206.cnf,C:\Users\Alkizar\Downloads\jnh\jnh206.cnf,baseline,UNSAT,22.132231,339,215,214,6955
jnh206.cnf,C:\Users\Alkizar\Downloads\jnh\jnh206.cnf,vsids,UNSAT,19.966908,299,190,189,6052
jnh207.cnf,C:\Users\Alkizar\Downloads\jnh\jnh207.cnf,baseline,TIMEOUT,60.063427,752,511,511,15887
jnh207.cnf,C:\Users\Alkizar\Downloads\jnh\jnh207.cnf,vsids,SAT,22.068818,352,225,225,6581
jnh208.cnf,C:\Users\Alkizar\Downloads\jnh\jnh208.cnf,baseline,UNSAT,21.179538,341,225,224,6672
jnh208.cnf,C:\Users\Alkizar\Downloads\jnh\jnh208.cnf,vsids,UNSAT,7.380384,130,86,85,2413
jnh209.cnf,C:\Users\Alkizar\Downloads\jnh\jnh209.cnf,baseline,SAT,12.451469,233,128,128,3787
jnh209.cnf,C:\Users\Alkizar\Downloads\jnh\jnh209.cnf,vsids,SAT,4.932295,93,43,43,1357
jnh210.cnf,C:\Users\Alkizar\Downloads\jnh\jnh210.cnf,baseline,SAT,5.056863,92,52,52,1658
jnh210.cnf,C:\Users\Alkizar\Downloads\jnh\jnh210.cnf,vsids,SAT,5.987322,112,58,58,1719
jnh211.cnf,C:\Users\Alkizar\Downloads\jnh\jnh211.cnf,baseline,UNSAT,1.508023,48,19,18,663
jnh211.cnf,C:\Users\Alkizar\Downloads\jnh\jnh211.cnf,vsids,UNSAT,1.708175,45,29,28,856
jnh212.cnf,C:\Users\Alkizar\Downloads\jnh\jnh212.cnf,baseline,TIMEOUT,60.021975,749,467,467,13807
jnh212.cnf,C:\Users\Alkizar\Downloads\jnh\jnh212.cnf,vsids,SAT,8.95121,148,86,86,2534
jnh213.cnf,C:\Users\Alkizar\Downloads\jnh\jnh213.cnf,baseline,SAT,4.156684,86,28,28,899
jnh213.cnf,C:\Users\Alkizar\Downloads\jnh\jnh213.cnf,vsids,SAT,5.264797,94,41,41,1321
jnh214.cnf,C:\Users\Alkizar\Downloads\jnh\jnh214.cnf,baseline,UNSAT,8.708363,167,91,90,2842
jnh214.cnf,C:\Users\Alkizar\Downloads\jnh\jnh214.cnf,vsids,UNSAT,11.936659,235,134,133,3837
jnh215.cnf,C:\Users\Alkizar\Downloads\jnh\jnh215.cnf,baseline,UNSAT,3.758543,83,49,48,1513
jnh215.cnf,C:\Users\Alkizar\Downloads\jnh\jnh215.cnf,vsids,UNSAT,1.793661,43,28,27,737
jnh216.cnf,C:\Users\Alkizar\Downloads\jnh\jnh216.cnf,baseline,UNSAT,16.797659,281,187,186,5941
jnh216.cnf,C:\Users\Alkizar\Downloads\jnh\jnh216.cnf,vsids,UNSAT,29.469641,473,309,308,9193
jnh217.cnf,C:\Users\Alkizar\Downloads\jnh\jnh217.cnf,baseline,SAT,7.191105,125,57,57,1607
jnh217.cnf,C:\Users\Alkizar\Downloads\jnh\jnh217.cnf,vsids,SAT,8.63173,152,78,78,2231
jnh218.cnf,C:\Users\Alkizar\Downloads\jnh\jnh218.cnf,baseline,SAT,4.59157,90,35,35,1024
jnh218.cnf,C:\Users\Alkizar\Downloads\jnh\jnh218.cnf,vsids,SAT,5.486032,108,58,58,1610
jnh219.cnf,C:\Users\Alkizar\Downloads\jnh\jnh219.cnf,baseline,UNSAT,11.830338,266,160,159,4620
jnh219.cnf,C:\Users\Alkizar\Downloads\jnh\jnh219.cnf,vsids,UNSAT,11.098212,254,146,145,4274
jnh220.cnf,C:\Users\Alkizar\Downloads\jnh\jnh220.cnf,baseline,SAT,30.357602,445,283,283,8483
jnh220.cnf,C:\Users\Alkizar\Downloads\jnh\jnh220.cnf,vsids,SAT,4.570945,96,58,58,1527
jnh3.cnf,C:\Users\Alkizar\Downloads\jnh\jnh3.cnf,baseline,UNSAT,15.149726,276,162,161,4867
jnh3.cnf,C:\Users\Alkizar\Downloads\jnh\jnh3.cnf,vsids,UNSAT,37.632458,543,357,356,10680
jnh301.cnf,C:\Users\Alkizar\Downloads\jnh\jnh301.cnf,baseline,SAT,34.178794,467,283,283,8660
jnh301.cnf,C:\Users\Alkizar\Downloads\jnh\jnh301.cnf,vsids,SAT,18.676814,277,165,165,4823
jnh302.cnf,C:\Users\Alkizar\Downloads\jnh\jnh302.cnf,baseline,UNSAT,0.062416,2,2,1,55
jnh302.cnf,C:\Users\Alkizar\Downloads\jnh\jnh302.cnf,vsids,UNSAT,0.130091,4,3,2,108
jnh303.cnf,C:\Users\Alkizar\Downloads\jnh\jnh303.cnf,baseline,UNSAT,11.623389,217,135,134,4119
jnh303.cnf,C:\Users\Alkizar\Downloads\jnh\jnh303.cnf,vsids,UNSAT,15.061223,277,186,185,6025
jnh304.cnf,C:\Users\Alkizar\Downloads\jnh\jnh304.cnf,baseline,UNSAT,0.24222,19,5,4,117
jnh304.cnf,C:\Users\Alkizar\Downloads\jnh\jnh304.cnf,vsids,UNSAT,1.122484,37,22,21,673
jnh305.cnf,C:\Users\Alkizar\Downloads\jnh\jnh305.cnf,baseline,UNSAT,2.731179,75,41,40,1188
jnh305.cnf,C:\Users\Alkizar\Downloads\jnh\jnh305.cnf,vsids,UNSAT,1.72246,52,33,32,887
jnh306.cnf,C:\Users\Alkizar\Downloads\jnh\jnh306.cnf,baseline,TIMEOUT,60.057882,724,474,474,14195
jnh306.cnf,C:\Users\Alkizar\Downloads\jnh\jnh306.cnf,vsids,TIMEOUT,60.075636,743,514,514,14947
jnh307.cnf,C:\Users\Alkizar\Downloads\jnh\jnh307.cnf,baseline,UNSAT,0.487694,14,8,7,248
jnh307.cnf,C:\Users\Alkizar\Downloads\jnh\jnh307.cnf,vsids,UNSAT,0.562615,14,8,7,245
jnh308.cnf,C:\Users\Alkizar\Downloads\jnh\jnh308.cnf,baseline,UNSAT,11.467794,253,170,169,4916
jnh308.cnf,C:\Users\Alkizar\Downloads\jnh\jnh308.cnf,vsids,UNSAT,13.878485,303,192,191,5702
jnh309.cnf,C:\Users\Alkizar\Downloads\jnh\jnh309.cnf,baseline,UNSAT,0.902877,25,15,14,433
jnh309.cnf,C:\Users\Alkizar\Downloads\jnh\jnh309.cnf,vsids,UNSAT,1.485206,30,21,20,643
jnh310.cnf,C:\Users\Alkizar\Downloads\jnh\jnh310.cnf,baseline,UNSAT,0.422103,17,8,7,185
jnh310.cnf,C:\Users\Alkizar\Downloads\jnh\jnh310.cnf,vsids,UNSAT,0.326928,14,6,5,133
jnh4.cnf,C:\Users\Alkizar\Downloads\jnh\jnh4.cnf,baseline,UNSAT,4.685707,93,55,54,1628
jnh4.cnf,C:\Users\Alkizar\Downloads\jnh\jnh4.cnf,vsids,UNSAT,10.507489,217,144,143,4316
