file,path,heuristic,status,runtime_sec,decisions,conflicts,learned_clauses,propagations
uf20-01.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-01.cnf,baseline,SAT,0.024209,25,16,16,139
uf20-01.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-01.cnf,vsids,SAT,0.006634,8,1,1,19
uf20-010.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-010.cnf,baseline,SAT,0.009727,9,5,5,60
uf20-010.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-010.cnf,vsids,SAT,0.007172,7,3,3,36
uf20-0100.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0100.cnf,baseline,SAT,0.005353,4,2,2,30
uf20-0100.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0100.cnf,vsids,SAT,0.003181,2,0,0,17
uf20-01000.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-01000.cnf,baseline,SAT,0.00911,9,5,5,60
uf20-01000.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-01000.cnf,vsids,SAT,0.018169,17,13,13,135
uf20-0101.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0101.cnf,baseline,SAT,0.006881,7,3,3,44
uf20-0101.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0101.cnf,vsids,SAT,0.005453,5,0,0,15
uf20-0102.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0102.cnf,baseline,SAT,0.01071,10,6,6,66
uf20-0102.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0102.cnf,vsids,SAT,0.014667,14,9,9,104
uf20-0103.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0103.cnf,baseline,SAT,0.008379,9,3,3,43
uf20-0103.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0103.cnf,vsids,SAT,0.024839,24,21,21,184
uf20-0104.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0104.cnf,baseline,SAT,0.004011,4,1,1,31
uf20-0104.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0104.cnf,vsids,SAT,0.007293,7,1,1,21
uf20-0105.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0105.cnf,baseline,SAT,0.006225,8,3,3,44
uf20-0105.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0105.cnf,vsids,SAT,0.008295,10,4,4,52
uf20-0106.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0106.cnf,baseline,SAT,0.019815,18,16,16,151
uf20-0106.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0106.cnf,vsids,SAT,0.008473,5,4,4,57
uf20-0107.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0107.cnf,baseline,SAT,0.022677,23,17,17,180
uf20-0107.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0107.cnf,vsids,SAT,0.00638,6,2,2,24
uf20-0108.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0108.cnf,baseline,SAT,0.013373,12,8,8,84
uf20-0108.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0108.cnf,vsids,SAT,0.030757,27,20,20,176
uf20-0109.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0109.cnf,baseline,SAT,0.003643,4,1,1,27
uf20-0109.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0109.cnf,vsids,SAT,0.012951,15,11,11,109
uf20-011.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-011.cnf,baseline,SAT,0.003241,6,0,0,12
uf20-011.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-011.cnf,vsids,SAT,0.005709,7,0,0,13
uf20-0110.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0110.cnf,baseline,SAT,0.005631,6,0,0,14
uf20-0110.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0110.cnf,vsids,SAT,0.005579,5,3,3,48
uf20-0111.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0111.cnf,baseline,SAT,0.011291,13,4,4,40
uf20-0111.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0111.cnf,vsids,SAT,0.023722,25,17,17,157
uf20-0112.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0112.cnf,baseline,SAT,0.003009,4,0,0,15
uf20-0112.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0112.cnf,vsids,SAT,0.024379,20,14,14,136
uf20-0113.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0113.cnf,baseline,SAT,0.006083,6,4,4,47
uf20-0113.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0113.cnf,vsids,SAT,0.017667,20,15,15,150
uf20-0114.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0114.cnf,baseline,SAT,0.003334,3,0,0,16
